product_titles,min_salaries,annual_fees,rates,salary_transfers,features,details,cashback,discounts,reward_point,shopping,dining,golf_benefits,travel_benefits
Liv - Platinum Credit Card,"AED 5,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Airport Lounge Access, Cinema Offers, Online Banking, Travel Benefits, Free Bank Account, Introductory Offers, No Salary Transfer, Discounts","Features
Up to AED 12,000 cashback per annum
Earn 1 Skywards Miles per AED 1
Free Airport Lounge access
Free Reel Cinema tickets every month
Buy 1 get 1 free dining & lifestyle offers
No annual fee
Dining out discounts","Up to AED 12,000 cashback per annum","Up to AED 12,000 cashback per annum",Earn 1 Skywards Miles per AED 1 Free Airport Lounge access Free Reel Cinema tickets every month Buy 1 get 1 free dining & lifestyle offers No annual fee Dining out discounts,"Up to AED 12,000 cashback per annum Earn 1 Skywards Miles per AED 1 Free Airport Lounge access Free Reel Cinema tickets every month Buy 1 get 1 free dining & lifestyle offers No annual fee Dining out discounts",Buy 1 get 1 free dining & lifestyle offers,Earn 1 Skywards Miles per AED 1,Earn 1 Skywards Miles per AED 1 Free Airport Lounge access Free Reel Cinema tickets every month Buy 1 get 1 free dining & lifestyle offers No annual fee Dining out discounts
Liv - World Credit Card,"AED 10,000",AED 700,3.09%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Free Supplementary Cards, Online Banking, Travel Benefits, Free Bank Account, Introductory Offers, No Salary Transfer, Offers, Discounts","Features
Up to AED 18,000 cashback per annum
Earn 1 Skywards Miles per AED 1
Free Airport Transfers
Free Airport Lounge access
Free Reel Cinema tickets every month
Buy 1 get 1 free dining & lifestyle offers
10% off on Cleartrip flight booking
10% off on Hotels.com discount
No annual fee
Dining out discounts","Up to AED 18,000 cashback per annum","Up to AED 18,000 cashback per annum",Earn 1 Skywards Miles per AED 1,"Up to AED 18,000 cashback per annum",Buy 1 get 1 free dining & lifestyle offers,Earn 1 Skywards Miles per AED 1,Earn 1 Skywards Miles per AED 1 Free Airport Transfers Free Airport Lounge access Free Reel Cinema tickets every month Buy 1 get 1 free dining & lifestyle offers 10% off on Cleartrip flight booking 10% off on Hotels.com discount No annual fee Dining out discounts
ADCB - talabat Credit Card,"AED 5,000",AED 0,3.69%,No,"Cash Back, Introductory Offers, Free for Life, No Salary Transfer, Discounts, Joining Bonus","Your Taste. Your Card. Your Benefits

35% back on talabat orders
applicable on first 10 orders every month, up to AED 35 per order

Unlimited free delivery
on talabat pro orders with a minimum order value of AED 50

Welcome bonus
on achieving a minimum spend of AED 2,500 in 45 days

Up to 1.25% back on other purchases
earn up to 1.25% as talabat credit on all other retail purchases

Personalised card design
choose your card design to reflect your food personality

Free for life
no annual fee, ever

Redeem talabat credit for talabat orders
enjoy free talabat orders by redeeming talabat credit

Keep in mind
35% back on talabat orders will be rewarded as talabat credit and will be applicable only on the first ten orders every month. Each order is capped at AED 35 with a cumulative total of AED 350 per month.
Welcome Bonus of AED 500 will be rewarded as talabat credit and subject to a minimum spend of AED 2,500 within 45 days of card issuance.
Unlimited free delivery will be applicable on all talabat pro orders with a minimum order value of AED 50 on food and AED 100 on talabat mart, groceries and pharmacy.
Other credit card benefits
Mobile and digital wallets
Credit shield
Card control
Instalments payment plans
School fee payments
FlexiPay
Balance transfer
Credit card loan","35% back on talabat orders applicable on first 10 orders every month, up to AED 35 per order",35% back on talabat orders,35% back on talabat orders,"35% back on talabat orders applicable on first 10 orders every month, up to AED 35 per order Unlimited free delivery on talabat pro orders with a minimum order value of AED 50 Welcome bonus on achieving a minimum spend of AED 2,500 in 45 days Up to ","35% back on talabat orders applicable on first 10 orders every month, up to AED 35 per order Unlimited free delivery on talabat pro orders with a minimum order value of AED 50","35% back on talabat orders applicable on first 10 orders every month, up to AED 35 per order",Unlimited free delivery on talabat pro orders with a minimum order value of AED 50
Emirates Islamic - Skywards Signature Credit Card,"AED 12,000",AED 735,3.49%,No,"Cash Back, Islamic Finance, Sharia Compliant, Air Miles, Airport Lounge Access, Golf Benefits, Travel Benefits, No Salary Transfer, Valet Parking"," Spend Category Miles Earn Rates 
 Spend at Emirates/flydubai Airlines 1.5 Skywards Miles
 International Spend* 1.1 Skywards Miles 
 Domestic Spend* 0.75 Skywards Miles 
Key Benefits
Earn skyward miles up to 1.5 per USD spent
Airport Lounge Access over +1000
1 Valet Parking
2 Golf Rounds
0% Easy Payment Plans
Balance Transfer Facility
Cash on call Facility up to 80%
24-hour customer service facility
supplementary cards
payment options",Earn skyward miles up to 1.5 per USD spent,1.1 Skywards Miles International Spend* 1.1 Skywards Miles Domestic Spend* 0.75 Skywards Miles Key Benefits Earn skyward miles up to 1.5 per USD spent Airport Lounge Access over +1000 1 Valet Parking 2 Golf Rounds 0% Easy Payment Plans Balance Transfer Facility Cash on,Earn skyward miles up to 1.5 per USD spent,Earn skyward miles up to 1.5 per USD spent,a choice of 2 meals at the airport lounge,2 Golf Rounds 0%,Earn skyward miles up to 1.5 per USD spent Airport Lounge Access over +1000 1 Valet Parking 2 Golf Rounds 0% Easy Payment Plans Balance Transfer Facility Cash on call Facility up to 80% 24-hour customer service facility supplementary cards payment options
Emirates Islamic - RTA Card,"AED 5,000",AED 0,3.49%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Islamic Finance, No Salary Transfer","Key Benefits
Fuel Spends
Get 10% Cashback on Fuel Spends.
RTA Transport Payments
Get 10% Cashback on RTA Transport Payment.
Guaranteed Cashback on all spends
Earn up to 2.25% cashback per AED 1 Spend.
NOL Card
Built in Nol card for easy access and payments on RTA transport network.
Reward Benefits
Enjoy up to 10% Cashback
RTA Transport Payments 10% AED 100
Fuel Stations 10% AED 100
International Up to 2.25% Unlimited
Domestic (Base Cashback*) Up to 1.25% Unlimited
Cashback Redemption
Redeem your cashback points within seconds through Online Banking or through our Mobile Banking app.
All you need to do is follow the steps below:
Log in to your Emirates Islamic account through Online Banking or Mobile Banking
Click on 'Cards'
Tap on 'Rewards'
Select 'Redemption' and submit your request.
Additional Benefits
Facilities available on the RTA Credit Card
Complimentary Reel Cinemas Movie Tickets
Enjoy 15% off on Emaar Entertainment Attractions
Emergency Cash and Card replacement
Extended Warranty
Payment Options
Purchase Protection
Salary Requirement: 
5,000 AED For UAE Nationals
10,000 AED For Expats

Representative Example",Fuel Spends Get 10% Cashback on Fuel Spends. RTA Transport Payments Get 10% Cashback on RTA Transport Payment. Guaranteed Cashback on all spends Earn up to 2.25% cashback per AED 1 Spend.,2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption,Enjoy up to 10% Cashback,Earn up to 2.25% cashback per AED 1 Spend. NOL Card Built in Nol card for easy access and payments on RTA transport network. Reward Benefits Enjoy up to 10% Cashback RTA Transport Payments 10% AED 100 Fuel Stations 10% AED 100 International Up to 2.2,15% off on Emaar Entertainment Attractions,5% off on Emaar Entertainment Attractions,Up to 2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption
ADCB - TouchPoints Platinum Credit Card,"AED 10,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, No Salary Transfer","Unlock a world of possibilities
With the wide range of benefits and privileges from online food delivery discounts, entertainment deals and much more to compliment your lifestyle

VOX Cinemas - Buy one get one FREE
10,000 Bonus TouchPoints - For spends of AED 10,000
Talabat Orders - 20% off your orders

Rewards
Earn up to 1 TouchPoint for every AED 1 spent with your card
Receive 10,000 bonus TouchPoints when you spend AED 10,000 each month
Lifestyle Benefits
Buy 1 Get 1 free on movie tickets
Exclusive discounts at Yas Theme Parks
Complimentary golf access
Visa xperience with the ENTERTAINER offer
Talabat Grocery & Food Delivery
Travel Benefits
Unlimited complimentary airport lounge access
Dragon Pass “Dine & Fly” airport Dining program
Airfare and Hotel discounts with Mastercard and Cleartrip
Avis Rent a Car Benefits with Visa
Other benefits
Credit Card Loan
Balance Transfer
Instalments Payment Plans
0% interest on School fee payments
Interest-Free Days
Manage your card through our mobile app and internet banking
Convenient payment options
Set up Auto Debit Instructions
FlexiPay",Buy 1 Get 1 free on movie tickets,Buy 1 Get 1 free on movie tickets,Buy 1 Get 1 free on movie tickets,"online food delivery discounts, entertainment deals and much more to compliment your lifestyle","VOX Cinemas - Buy one get one FREE 10,000 Bonus TouchPoints - For spends of AED 10,000 Talabat Orders - 20% off your orders",Complimentary golf access,Unlimited complimentary airport lounge access Dragon Pass “Dine & Fly” airport Dining program Airfare and Hotel discounts with Mastercard and Cleartrip Avis Rent a Car Benefits with Visa
ADCB Lulu Platinum Credit Card,"AED 8,000",AED 0,3.69%,No,"Airport Lounge Access, No Salary Transfer","Shop, earn, redeem!

Turn spending into free shopping at LuLu Hypermarket with the LuLu Credit Card. Every time you use your card, you’ll earn LuLuPoints that you can use to shop at any LuLu Hypermarket across the UAE.

0 Annual fees
0% Interest Payment Plan on school fee payment
Up to 5 Lulu points per AED 1 purchase
Each 5,000 LuLu points gives voucher worth AED 50.
Enjoy complimentary airport lounge access with LuLu Platinum credit card.
Special offer

Bonus LuLu points worth:
LuLu Platinum Cards: AED 400

Valid for new Lulu credit cards applied from 1st Feb to 29th Feb 2024 and cards issued by 15th March 2024
*Bonus credited on completion of 3 transactions of minimum AED 100 each.

Additional Information
Features & Benefits
Complimentary Lounge access
Flight & hotel booking discounts with Cleartrip
Buy 1 get 1 free on dining, premium spas and more
Talabat food and grocery delivery discounts
Hala Taxi Ride Discounts
Farfetch Shopping Discounts
Interest-Free Days
Convenient Payment Options
Interest free balance transfers
Credit Shield with complimentary life cover
Credit Card Loan
Balance Transfer
Instalment Payment Plans
0% interest on School Fee Payments

Eligibility Criteria 

Minimum spend in AED: 300 
Minimum Number of transactions: 3 
Minimum amount of transaction: AED 100 each
To be eligible for the promotional bonus LuLu Points, you must spend a minimum of AED 3,000 for Platinum Card respectively.
Issuance of credit card is at the sole discretion of ADCB
Customers converting any existing card or covered card to LuLu cards during offer period will not qualify for the offer
Offer is valid on ADCB LuLu Credit Cards applied between 1st November 2023 to 31st January 2024 and card issuance can happen till 15th February 2024
Customers cancelling existing LuLu card or any other card or covered card during the offer period will not qualify for the offer
Qualifying spends must be made within 45 days of card issuance
Spends to include retail purchases, credit card loan and balance transfer
 Reward will be credited to the Customer’s LuLu Credit Card within 60 days of end of the Offer Period
 LuLu points will be credited to the Customer’s “LuLu Credit Card”
Offer is valid on ADCB LuLu Credit Cards applied between 1st November 2023 to 31st Jan 2024 and cards issued by 15th Feb 2024.
The offer is applicable for new as well as existing customers not holding an ADCB LuLu Credit Cards prior to the start of the campaign period.
Customers cancelling existing LuLu card or any other existing ADCB Credit Card or covered card and applying for a new LuLu card during the campaign period will not be eligible.
Customers converting any existing ADCB credit card or covered card to LuLu cards during campaign period will not be eligible.  ","0% Interest Payment Plan on school fee payment Up to 5 Lulu points per AED 1 purchase Each 5,000 LuLu points gives voucher worth AED 50.","0 Annual fees 0% Interest Payment Plan on school fee payment Up to 5 Lulu points per AED 1 purchase Each 5,000 LuLu points gives voucher worth AED 50","0 Annual fees 0% Interest Payment Plan on school fee payment Up to 5 Lulu points per AED 1 purchase Each 5,000 LuLu points gives voucher worth AED 50.","Every time you use your card, you’ll earn LuLuPoints that you can use to shop at any LuLu Hypermarket across the UAE.","Buy 1 get 1 free on dining, premium spas and more",Complimentary Lounge access,"Flight & hotel booking discounts with Cleartrip Buy 1 get 1 free on dining, premium spas and more Talabat food and grocery delivery discounts Hala Taxi Ride Discounts Farfetch Shopping Discounts"
Emirates NBD Skywards Infinite Credit Card,"AED 30,000","AED 1,575",3.25%,No,"Air Miles, Airport Lounge Access, Golf Benefits, No Salary Transfer","Features
Earn up to 100,000 Skywards Miles & get Rotana Rewards membership
Up to 2 Skywards Miles per USD equivalent spent
Complimentary Emirates Skywards Silver membership, Enhance your travel experience with Emirates and flydubai
Complimentary Emirates Skywards Silver membership upgrade
Access to Business Class Lounge with your Silver membership
Unlimited complimentary access to over 1000 airport lounges worldwide via LoungeKey
Complimentary access to top golfing courses across the UAE
Concierge services to take care of your time-consuming errands
Valet Parking at selected locations in Abu Dhabi",Up to 2 Skywards Miles per USD equivalent spent,Up to 2 Skywards Miles per USD equivalent spent,Up to 2 Skywards Miles per USD equivalent spent,Up to 2 Skywards Miles per USD equivalent spent,complimentary access to over 1000 airport lounges worldwide via LoungeKey,Complimentary access to top golfing courses across the UAE,"Earn up to 100,000 Skywards Miles & get Rotana Rewards membership Up to 2 Skywards Miles per USD equivalent spent"
Simplylife - Cashback Credit Card,"AED 5,000",AED 0,1%,No,"Cash Back, Balance Transfer, Airport Lounge Access, Cinema Offers, Free for Life, No Salary Transfer","Features
1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000. Maximum monthly cash back is AED 1,000
Easy redemption process and the card is free for life, no annual fees.
Two movie tickets free when you make monthly purchases worth AED 1,500 or more (maximum monthly cash back for the tickets is AED 70)
Complimentary airport lounge access (Marhaba Lounges in Dubai and Diamond Lounge in Abu Dhabi)
Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport
Balance transfer at amazingly low interest rates
Personal payment plans and credit card loans at low interest rates. And you can repay in easy installments over 6, 9, 12, 18 or 24 months
Card control safety
Credit Shield insurance cover credit card","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000","Two movie tickets free when you make monthly purchases worth AED 1,500 or more","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000.","Two movie tickets free when you make monthly purchases worth AED 1,500 or more",Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport,Complimentary airport lounge access (Marhaba Lounges in Dubai and Diamond Lounge in Abu Dhabi) Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport
Emirates NBD - Titanium Credit Card,"AED 5,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, No Salary Transfer","Apply for an Emirates NBD Credit Card to win Apple products and a guaranteed voucher!
Apply for an Emirates NBD Credit Card and be one of 120 lucky winners of various Apple products from Apple watches to MacBook pro laptops!
That’s not all, you can also get a guaranteed YOUGotaGift HappyYOU card worth up to AED 400 that can be availed across 200+ brands.

Prize Units
Apple Watch Series 8 45MM 30
Apple iPhone 14 Pro Max 256GB 30
Apple AirPods 3rd generation 30
Apple 13-inch MacBook Pro 30
Total 120
Your lifestyle. Your privileges. Your Card.
Take advantage of a host of lifestyle features and benefits
Rewards
Earn up to 1 Plus Points for every AED 100 spend

Airport Lounge Access
Complimentary access to over 10 VIP lounges

Buy1 Get1 offers
Enjoy hundreds of the best brands and outlets throughout
Middle East & Africa

Complimentary lounge access to over 10 regional airports
Up to 40% discount at over 100 golf courses worldwide
Exclusive offers and deals on travel, lifestyle, shopping and more

Plus Points
Get rewarded for all your retail spends
Earn Plus Points for every spend and redeem them instantly at your favorite stores. You can also convert your Plus Points to Frequent Flyer Miles or Cash back.
Earn up to 1 Plus Points for every AED 100 spend
Earn 0.4% Plus Points in supermarkets and groceries spends
Earn 0.4% Plus Points in Insurance and Car Dealership spends
Earn 0.2% Plus Points in Fuel and Utility Payments
Earn 0.2% Plus Points in Real Estate and Education spends

Additional Information
Required Documents
Find out the Required Documents for Credit Cards
Security Cheque
Latest 3 Months Bank Statements (Mini ATM statement incase Bank Statements were not original)
Trade License for Non-Individual
Latest Salary Certificate for Salaried Individual
Original Emirates ID and copy along with Passport Copy for Identification

Representative Example",Earn up to 1 Plus Points for every AED 100 spend,Up to 40% discount at over 100 golf courses worldwide,Earn up to 1 Plus Points for every AED 100 spend,Plus Points Get rewarded for all your retail spends,Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Airport Lounge Access Complimentary access to over 10 VIP lounges
